flow_duration,total_fwd_packets,total_bwd_packets,flow_bytes_per_sec,flow_packets_per_sec,packet_length_mean,packet_length_std,syn_flag_count,ack_flag_count,urg_flag_count,destination_port,protocol_type,label
7.23,1,0,1862.67,2540.32,55.31,0.0,1,0,0,4368,TCP,Port Scan
70091.71,11,19,4408.47,15.66,205.79,95.55,0,8,0,6667,TCP,Botnet
25594.42,27,23,15062.14,40.67,820.64,118.19,1,14,0,80,UDP,Normal
35678.16,23,11,84109.41,44.29,431.71,181.28,0,24,0,443,TCP,Normal
24586.52,8,14,11609.85,237.57,989.52,109.32,0,14,0,8080,TCP,Normal
946.6,875,2,1612923.48,9555.51,61.83,19.87,178,0,0,80,TCP,DDoS
25.84,1,0,411.26,2001.55,63.98,0.0,1,0,0,5692,TCP,Port Scan
1404.28,947,0,2114382.47,9099.55,61.07,20.89,551,1,0,53,TCP,DDoS
11115.68,36,54,29098.8,69.28,196.09,32.99,3,32,0,22,TCP,Brute Force
31103.63,14,5,105417.2,50.92,609.58,121.74,1,26,0,443,TCP,Normal
1479.8,713,1,4958766.26,8181.92,54.28,13.61,325,0,0,80,TCP,DDoS
22844.67,11,10,7061.17,24.98,160.88,217.76,0,6,0,9001,TCP,Botnet
846.67,530,0,2787634.06,7226.87,79.71,22.24,185,0,0,80,TCP,DDoS
28820.61,20,19,9812.88,19.9,244.36,158.56,0,11,0,4444,TCP,Botnet
32668.88,33,27,109176.3,143.06,733.63,217.72,0,24,0,443,TCP,Normal
11386.43,32,41,23804.83,48.15,149.1,46.34,4,69,0,21,TCP,Brute Force
20165.66,19,6,4532.96,20.18,205.55,167.77,0,6,0,6667,UDP,Botnet
6257.44,10,10,19376.19,163.28,712.81,205.6,0,17,0,443,UDP,Normal
2350.26,14,21,104950.01,78.03,615.44,172.73,1,10,0,443,TCP,Normal
12067.77,30,24,9685.81,84.35,687.84,170.56,0,15,0,53,TCP,Normal
27.81,2,0,2149.67,3479.99,53.74,0.0,1,0,0,1973,TCP,Port Scan
15.05,2,0,1083.65,1967.3,63.34,0.0,1,0,0,9880,TCP,Port Scan
9.21,1,0,1721.0,3260.39,44.92,0.0,1,0,0,3701,TCP,Port Scan
10317.95,66,39,11370.12,43.93,126.86,37.92,4,56,0,22,TCP,Brute Force
28264.75,15,15,5461.73,9.5,235.53,143.71,0,6,0,8000,UDP,Botnet
12864.11,12,22,99525.63,211.46,1082.83,144.83,0,13,0,443,TCP,Normal
35193.45,10,15,7066.68,25.81,183.48,208.88,0,6,0,1337,UDP,Botnet
57922.97,20,8,9039.21,24.76,236.65,134.25,0,7,0,9001,TCP,Botnet
7326.67,74,66,16983.66,65.9,215.24,56.03,3,27,0,21,TCP,Brute Force
3615.13,67,59,17691.38,95.11,209.32,30.29,5,50,0,22,TCP,Brute Force
9.77,2,0,1633.27,2067.08,35.73,0.0,1,0,0,2960,TCP,Port Scan
1597.81,19,18,37001.37,142.66,1097.2,210.11,1,18,0,80,TCP,Normal
10193.39,52,39,36935.27,117.44,124.81,16.67,3,42,0,22,TCP,Brute Force
27.36,2,0,1187.14,1623.0,40.21,0.0,1,0,0,3232,TCP,Port Scan
37121.65,29,7,146151.32,97.47,607.54,233.64,0,14,0,8080,UDP,Normal
3462.13,28,19,15745.29,106.36,962.67,136.69,1,12,0,80,TCP,Normal
44619.68,25,16,118791.6,248.72,823.84,111.58,1,22,0,53,TCP,Normal
4725.95,23,14,19013.5,60.69,1091.14,138.82,0,18,0,8080,TCP,Normal
35.64,2,0,2173.29,1856.72,60.44,0.0,1,0,0,1826,TCP,Port Scan
21089.25,9,3,113403.36,135.63,562.55,229.91,0,16,0,80,TCP,Normal
19359.4,8,16,9731.44,6.61,208.22,171.86,0,7,0,1337,UDP,Botnet
27280.4,32,20,63211.96,97.76,488.78,128.35,0,19,0,443,TCP,Normal
9831.47,40,66,32906.95,119.78,189.23,28.08,5,47,0,21,TCP,Brute Force
702.37,1069,2,2708364.99,7755.01,86.75,21.93,93,0,0,80,TCP,DDoS
25.36,2,0,216.0,1448.34,35.23,0.0,1,0,0,8605,TCP,Port Scan
29403.15,20,12,108689.52,156.43,437.34,140.95,0,25,0,53,TCP,Normal
7441.15,9,12,78298.77,53.14,836.8,104.73,0,19,0,443,UDP,Normal
37560.95,22,21,6762.73,175.02,436.29,159.77,0,13,0,80,TCP,Normal
787.36,531,2,4600825.79,7315.78,80.54,6.4,289,0,0,443,TCP,DDoS
29.97,2,0,560.29,3372.86,44.97,0.0,1,0,0,2902,TCP,Port Scan
36200.09,21,9,65593.18,30.24,602.4,140.26,0,25,0,53,TCP,Normal
15150.76,10,7,70284.26,78.59,646.32,191.12,0,3,0,443,TCP,Normal
7.49,1,0,2309.28,3495.35,56.98,0.0,1,0,0,3434,TCP,Port Scan
6278.62,57,38,25382.92,84.88,99.96,40.05,5,49,0,22,TCP,Brute Force
25918.36,21,29,25220.28,150.92,1007.59,166.62,1,9,0,80,TCP,Normal
357.8,887,1,2143641.77,15278.9,89.48,20.64,102,0,0,443,TCP,DDoS
3856.84,18,11,36437.32,87.73,1097.08,189.39,0,25,0,80,TCP,Normal
12384.84,29,16,129520.41,94.95,1067.83,74.38,0,22,0,443,TCP,Normal
26468.29,30,6,41181.03,20.46,521.86,73.41,0,23,0,53,TCP,Normal
646.55,1179,0,2563655.57,4665.95,55.32,20.43,526,0,0,53,TCP,DDoS
11227.36,17,8,48096.05,51.19,501.94,189.49,0,4,0,8080,TCP,Normal
15978.09,10,15,83996.16,48.9,602.81,97.75,0,7,0,443,TCP,Normal
37089.15,32,8,111264.58,221.52,905.95,96.37,1,6,0,443,TCP,Normal
26600.83,15,21,59922.03,97.61,1029.75,171.51,0,15,0,80,UDP,Normal
1132.67,1190,2,1344235.3,15339.72,51.55,12.88,180,0,0,80,TCP,DDoS
38072.01,27,24,109100.24,85.23,628.4,54.15,1,3,0,443,TCP,Normal
42107.25,8,27,132307.75,159.27,572.99,121.17,0,11,0,443,TCP,Normal
21.76,1,0,1620.38,3449.82,42.81,0.0,1,0,0,8905,TCP,Port Scan
3362.5,30,39,14230.26,101.4,184.92,39.27,2,42,0,22,TCP,Brute Force
3466.02,27,15,26774.51,189.61,758.56,186.05,0,27,0,443,TCP,Normal
37835.38,11,16,107036.47,243.16,706.36,96.99,1,21,0,443,TCP,Normal
86.45,1192,2,5013894.88,14952.72,47.02,23.07,334,0,0,80,TCP,DDoS
255.21,408,2,5667169.73,13171.84,62.79,18.79,243,0,0,443,TCP,DDoS
10825.77,14,9,118295.58,240.84,934.51,221.04,0,7,0,80,TCP,Normal
888.2,817,0,3415977.52,4243.72,74.1,11.8,535,0,0,80,TCP,DDoS
10910.4,54,37,18826.67,65.79,141.32,28.84,4,25,0,22,TCP,Brute Force
30475.64,7,27,72530.21,75.26,728.86,141.09,0,17,0,80,TCP,Normal
19597.15,27,27,71238.58,214.5,479.97,101.07,1,12,0,80,TCP,Normal
35219.46,23,29,42868.55,179.84,797.17,209.25,1,18,0,80,TCP,Normal
800.58,206,1,3734365.54,4717.99,94.83,13.51,257,0,0,80,TCP,DDoS
30.46,1,0,614.97,2868.27,42.84,0.0,1,0,0,6988,TCP,Port Scan
20012.1,34,24,52582.14,55.66,1087.29,217.79,1,19,0,80,TCP,Normal
3148.85,18,22,104555.54,46.33,668.69,141.25,0,21,0,443,TCP,Normal
235.87,625,1,2085471.58,14225.63,54.41,22.63,149,0,0,80,TCP,DDoS
989.34,1062,0,5502781.9,17532.25,94.55,20.8,482,0,0,8080,TCP,DDoS
39091.07,9,5,62588.76,44.12,916.18,86.46,0,19,0,80,TCP,Normal
12832.92,33,20,55063.36,59.73,835.39,226.4,1,21,0,53,UDP,Normal
857.38,274,0,3877954.9,14044.2,71.42,6.34,400,0,0,80,TCP,DDoS
852.83,386,2,3496163.47,8284.63,52.87,6.0,552,0,0,8080,TCP,DDoS
66.52,1041,2,2755417.31,17139.15,84.99,16.75,588,0,0,443,TCP,DDoS
33.02,2,0,2125.86,842.02,52.67,0.0,1,0,0,7770,TCP,Port Scan
15656.89,34,29,64396.19,91.58,873.98,171.16,0,22,0,443,TCP,Normal
2353.73,29,8,115534.81,124.63,587.08,93.96,0,14,0,80,TCP,Normal
78054.19,12,16,11893.19,24.44,238.78,114.27,1,5,0,4444,UDP,Botnet
33.14,2,0,2358.75,945.53,32.39,0.0,1,0,0,8523,TCP,Port Scan
21735.4,19,7,147280.03,234.47,1053.71,130.44,0,18,0,443,TCP,Normal
32937.79,30,16,22141.7,20.01,898.5,121.32,0,24,0,80,TCP,Normal
3077.46,27,29,128600.13,247.73,873.24,139.19,0,22,0,443,TCP,Normal
32.77,1,0,940.25,1465.49,32.29,0.0,1,0,0,6887,TCP,Port Scan
41998.69,9,7,140393.67,177.29,772.1,56.53,0,22,0,80,TCP,Normal
3.4,1,0,1424.31,1004.85,54.34,0.0,1,0,0,2276,TCP,Port Scan
728.81,745,1,3611981.28,13159.51,78.64,24.12,386,0,0,8080,TCP,DDoS
11.89,2,0,2495.2,1498.18,55.17,0.0,1,0,0,9542,TCP,Port Scan
12.37,2,0,2193.56,2201.91,63.78,0.0,1,0,0,9556,TCP,Port Scan
18366.64,22,20,36973.77,62.77,1065.57,91.98,0,3,0,80,TCP,Normal
31909.5,18,14,104764.35,212.5,1006.81,217.7,0,10,0,80,TCP,Normal
